study,cohort,demo_race,demo_gender,demo_firstgen,bedtime_mssd,TotalSleepTime,midpoint_sleep,frac_nights_with_data,daytime_sleep,cum_gpa,term_gpa
5,lac1,1.0,1.0,0.0,0.116726948,432.2,458.66,0.862068966,24.16,3.0,3.38
5,lac1,0.0,1.0,0.0,0.141680839,391.9310345,364.4655172,1.0,13.13793103,3.66,2.6
5,lac1,1.0,1.0,0.0,0.6172032297499999,344.3043478,560.8913043,0.793103448,14.95652174,3.57,3.07
5,lac1,0.0,1.0,1.0,0.130148455,392.6206897,416.4827586,1.0,54.55172414,3.61,3.56
5,lac1,1.0,1.0,0.0,0.130180898,423.4210526,368.7631579,0.655172414,10.52631579,3.21,4.0
5,lac1,1.0,1.0,0.0,0.209483025,397.4,353.58,0.862068966,22.36,3.2,3.36
5,lac1,1.0,1.0,0.0,0.6172032297499999,348.5925926,434.7037037,0.931034483,20.51851852,3.4,3.19
5,lac1,1.0,1.0,0.0,0.129621959,422.1111111,414.8333333,0.931034483,17.03703704,3.86,3.28
5,lac1,1.0,0.0,0.0,0.6172032297499999,454.3214286,423.8214286,0.965517241,52.67857143,3.79,3.5
5,lac1,1.0,1.0,0.0,0.085000354,308.9655172,334.7931034,1.0,85.48275862,3.53,2.55
5,lac1,1.0,1.0,0.0,0.168517574,314.5862069,479.362069,1.0,21.4137931,3.61,3.49
5,lac1,1.0,1.0,0.0,0.064827556,382.1923077,463.5769231,0.896551724,2.269230769,3.82,3.76
5,lac1,1.0,1.0,0.0,0.089355867,389.7241379,447.862069,1.0,14.55172414,3.33,3.74
5,lac1,1.0,0.0,0.0,0.224089073,365.7241379,519.4655172,1.0,27.55172414,4.0,4.0
5,lac1,1.0,1.0,1.0,0.141067177,360.0,372.137931,1.0,34.06896552,3.16,3.56
5,lac1,1.0,0.0,1.0,0.246896613,366.7586207,431.6724138,1.0,10.24137931,3.0,3.2
5,lac1,1.0,1.0,0.0,0.235034014,292.1034483,424.0344828,1.0,9.379310345,3.77,2.78
5,lac1,0.0,1.0,0.0,0.176744146,446.1304348,383.1956522,0.793103448,23.13043478,3.71,2.83
5,lac1,1.0,0.0,0.0,0.6172032297499999,371.7272727,451.0454545,0.379310345,42.90909091,3.82,3.78
5,lac1,1.0,1.0,1.0,0.039771117,439.5517241,366.137931,1.0,12.24137931,3.1,3.3
5,lac1,1.0,1.0,0.0,0.060847151,359.1724138,330.3275862,1.0,6.103448276,4.0,3.44
5,lac1,1.0,1.0,0.0,0.104683603,384.8275862,341.0,1.0,20.20689655,3.17,3.05
5,lac1,1.0,1.0,0.0,0.062372733,372.25,383.2142857,0.965517241,25.03571429,4.0,3.82
5,lac1,1.0,1.0,0.0,0.406257089,402.4166667,349.25,0.827586207,10.91666667,3.47,3.0
5,lac1,1.0,1.0,0.0,0.060779478,360.862069,452.637931,1.0,22.13793103,3.62,3.81
5,lac1,1.0,0.0,0.0,0.052766794,443.137931,437.862069,1.0,23.79310345,2.91,2.61
5,lac1,1.0,0.0,0.0,0.272011478,375.8,400.64,0.862068966,28.04,3.79,3.17
5,lac1,1.0,0.0,0.0,0.6172032297499999,335.9565217,494.1304348,0.793103448,20.73913043,1.57,2.67
5,lac1,1.0,1.0,0.0,0.161198225,367.4444444,405.8148148,0.931034483,16.25925926,3.5,3.4
5,lac1,1.0,1.0,0.0,0.093037333,408.1153846,328.0192308,0.896551724,12.11538462,4.0,4.0
5,lac1,0.0,1.0,0.0,0.152839073,371.2758621,321.6034483,1.0,93.47460591000001,3.3,2.94
5,lac1,0.0,1.0,0.0,0.6172032297499999,300.375,469.6875,0.551724138,9.0,3.28,1.7
5,lac1,1.0,0.0,0.0,0.09644487,373.1724138,467.9655172,1.0,23.65517241,4.0,3.81
5,lac1,0.0,0.0,0.0,0.252287769,429.862069,437.8275862,1.0,52.65517241,3.52,3.46
